001 AYOADE EZEKIEL UT200 60 50 20 78 38 67 23 69 71 73
002 ADEOLA QASSIM UT676 25 60 15 32 42 35 23 46 20 10
003 ADEBAYO MOTUNRAYO UT502 79 88 66 75 90 78 56 76 80 99
004 AKINPELU ROBIAT UT897 65 55 45 39 40 76 88 43 50 79
005 ADETUNJI RUKAYAT UT102 23 78 65 44 32 90 40 14 15 25
006 AJAERO ONYINYAECHI UT432 54 56 78 76 34 89 76 55 28 39
007 RAJI AMIN UT402 65 35 79 64 26 36 14 05 78 29
008 LARA BADMUS UT998 78 56 88 93 45 63 77 90 63 89
009 BIDA KAJOL UT205 95 98 97 92 93 94 91 90 96 99
010 FULCRUM ADETOUN UT615 45 44 43 42 41 40 46 49 48 47
